,label,fullpath,img_dir,origin
id2_0002.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id2_0002.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id2_0002,CelebDF-v2
id2_0003.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id2_0003.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id2_0003,CelebDF-v2
id2_0004.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id2_0004.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id2_0004,CelebDF-v2
id2_0005.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id2_0005.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id2_0005,CelebDF-v2
id2_0006.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id2_0006.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id2_0006,CelebDF-v2
id2_0007.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id2_0007.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id2_0007,CelebDF-v2
id2_0009.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id2_0009.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id2_0009,CelebDF-v2
id3_0000.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id3_0000.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id3_0000,CelebDF-v2
id3_0002.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id3_0002.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id3_0002,CelebDF-v2
id3_0003.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id3_0003.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id3_0003,CelebDF-v2
id3_0004.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id3_0004.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id3_0004,CelebDF-v2
id3_0006.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id3_0006.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id3_0006,CelebDF-v2
id3_0007.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id3_0007.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id3_0007,CelebDF-v2
id3_0008.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id3_0008.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id3_0008,CelebDF-v2
id3_0009.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id3_0009.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id3_0009,CelebDF-v2
id4_0000.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id4_0000.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id4_0000,CelebDF-v2
id4_0001.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id4_0001.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id4_0001,CelebDF-v2
id4_0002.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id4_0002.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id4_0002,CelebDF-v2
id4_0003.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id4_0003.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id4_0003,CelebDF-v2
id4_0004.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id4_0004.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id4_0004,CelebDF-v2
id4_0005.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id4_0005.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id4_0005,CelebDF-v2
id4_0006.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id4_0006.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id4_0006,CelebDF-v2
id4_0007.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id4_0007.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id4_0007,CelebDF-v2
id4_0008.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id4_0008.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id4_0008,CelebDF-v2
id4_0009.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id4_0009.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id4_0009,CelebDF-v2
id6_0000.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id6_0000.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id6_0000,CelebDF-v2
id6_0001.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id6_0001.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id6_0001,CelebDF-v2
id6_0002.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id6_0002.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id6_0002,CelebDF-v2
id6_0004.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id6_0004.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id6_0004,CelebDF-v2
id6_0006.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id6_0006.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id6_0006,CelebDF-v2
id6_0007.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id6_0007.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id6_0007,CelebDF-v2
id6_0008.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id6_0008.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id6_0008,CelebDF-v2
id6_0009.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id6_0009.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id6_0009,CelebDF-v2
id7_0000.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id7_0000.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id7_0000,CelebDF-v2
id7_0001.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id7_0001.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id7_0001,CelebDF-v2
id7_0002.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id7_0002.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id7_0002,CelebDF-v2
id7_0003.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id7_0003.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id7_0003,CelebDF-v2
id7_0004.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id7_0004.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id7_0004,CelebDF-v2
id7_0005.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id7_0005.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id7_0005,CelebDF-v2
id7_0006.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id7_0006.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id7_0006,CelebDF-v2
id7_0007.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id7_0007.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id7_0007,CelebDF-v2
id7_0008.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id7_0008.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id7_0008,CelebDF-v2
id7_0009.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id7_0009.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id7_0009,CelebDF-v2
id8_0000.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id8_0000.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id8_0000,CelebDF-v2
id10_0007.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id10_0007.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id10_0007,CelebDF-v2
id12_0004.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id12_0004.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id12_0004,CelebDF-v2
id13_0015.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id13_0015.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id13_0015,CelebDF-v2
id3_0005.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id3_0005.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id3_0005,CelebDF-v2
id6_0003.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id6_0003.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id6_0003,CelebDF-v2
id8_0001.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id8_0001.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id8_0001,CelebDF-v2
id10_0008.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id10_0008.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id10_0008,CelebDF-v2
id10_0009.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id10_0009.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id10_0009,CelebDF-v2
id11_0000.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id11_0000.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id11_0000,CelebDF-v2
id11_0001.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id11_0001.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id11_0001,CelebDF-v2
id11_0002.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id11_0002.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id11_0002,CelebDF-v2
id11_0003.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id11_0003.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id11_0003,CelebDF-v2
id11_0004.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id11_0004.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id11_0004,CelebDF-v2
id11_0005.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id11_0005.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id11_0005,CelebDF-v2
id11_0006.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id11_0006.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id11_0006,CelebDF-v2
id11_0007.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id11_0007.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id11_0007,CelebDF-v2
id11_0009.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id11_0009.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id11_0009,CelebDF-v2
id11_0010.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id11_0010.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id11_0010,CelebDF-v2
id12_0000.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id12_0000.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id12_0000,CelebDF-v2
id12_0001.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id12_0001.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id12_0001,CelebDF-v2
id12_0002.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id12_0002.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id12_0002,CelebDF-v2
id12_0003.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id12_0003.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id12_0003,CelebDF-v2
id12_0005.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id12_0005.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id12_0005,CelebDF-v2
id12_0006.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id12_0006.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id12_0006,CelebDF-v2
id13_0000.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id13_0000.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id13_0000,CelebDF-v2
id13_0001.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id13_0001.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id13_0001,CelebDF-v2
id13_0002.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id13_0002.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id13_0002,CelebDF-v2
id13_0003.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id13_0003.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id13_0003,CelebDF-v2
id13_0004.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id13_0004.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id13_0004,CelebDF-v2
id13_0005.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id13_0005.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id13_0005,CelebDF-v2
id13_0006.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id13_0006.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id13_0006,CelebDF-v2
id13_0007.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id13_0007.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id13_0007,CelebDF-v2
id13_0008.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id13_0008.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id13_0008,CelebDF-v2
id13_0009.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id13_0009.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id13_0009,CelebDF-v2
id13_0010.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id13_0010.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id13_0010,CelebDF-v2
id13_0011.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id13_0011.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id13_0011,CelebDF-v2
id13_0012.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id13_0012.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id13_0012,CelebDF-v2
id13_0013.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id13_0013.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id13_0013,CelebDF-v2
id13_0014.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id13_0014.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id13_0014,CelebDF-v2
id16_0000.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id16_0000.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id16_0000,CelebDF-v2
id16_0001.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id16_0001.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id16_0001,CelebDF-v2
id16_0002.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id16_0002.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id16_0002,CelebDF-v2
id16_0003.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id16_0003.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id16_0003,CelebDF-v2
id16_0004.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id16_0004.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id16_0004,CelebDF-v2
id16_0005.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id16_0005.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id16_0005,CelebDF-v2
id16_0006.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id16_0006.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id16_0006,CelebDF-v2
id16_0007.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id16_0007.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id16_0007,CelebDF-v2
id16_0008.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id16_0008.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id16_0008,CelebDF-v2
id16_0009.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id16_0009.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id16_0009,CelebDF-v2
id16_0010.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id16_0010.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id16_0010,CelebDF-v2
id16_0012.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id16_0012.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id16_0012,CelebDF-v2
id16_0013.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id16_0013.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id16_0013,CelebDF-v2
id17_0001.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id17_0001.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id17_0001,CelebDF-v2
id17_0002.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id17_0002.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id17_0002,CelebDF-v2
id17_0003.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id17_0003.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id17_0003,CelebDF-v2
id17_0004.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id17_0004.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id17_0004,CelebDF-v2
id17_0005.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id17_0005.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id17_0005,CelebDF-v2
id17_0006.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id17_0006.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id17_0006,CelebDF-v2
id17_0007.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id17_0007.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id17_0007,CelebDF-v2
id17_0008.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id17_0008.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id17_0008,CelebDF-v2
id17_0009.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id17_0009.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id17_0009,CelebDF-v2
id1_0000.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id1_0000.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id1_0000,CelebDF-v2
id1_0001.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id1_0001.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id1_0001,CelebDF-v2
id1_0002.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id1_0002.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id1_0002,CelebDF-v2
id1_0003.mp4,REAL,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/Celeb-real/id1_0003.mp4,/content/drive/MyDrive/deepfake-detection/CelebDF-v2/faces/id1_0003,CelebDF-v2
